Reference, Quantity, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part Number, Order Code, Source
D1 ,1,"LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.we-online.de/katalog/datasheet/150120SS75000.pdf","Wurth Elektronik","150120SS75000","2322087","Farnell"
J1 ,1,"PicKit_Connector","PickitUp:PinHeader_1x08_P2.54mm_Horizontal_Inverse","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68015.pdf","Amphenol FCI","68016-208HLF","2892394","Farnell"
J2 ,1,"AVR-JTAG-10","PickitUp:SHF-105-01-L-D-TH","http://suddendocs.samtec.com/prints/shf-1xx-01-x-d-xx-xx-mkt.pdf","Samtec","SHF-105-01-L-D-TH","2308450","Farnell"
J3 ,1,"ARM_JTAG_20","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical","https://www.we-online.com/catalog/datasheet/61200621621.pdf","Wurth Elektronik","61202021621","1642021","Farnell"
J4 ,1,"AVR-ISP-10","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","https://www.we-online.com/catalog/datasheet/61201021621.pdf","Wurth Elektronik","61201021621","1642019","Farnell"
J5 ,1,"ARM_JTAG_10","PickitUp:SHF-105-01-L-D-TH","http://suddendocs.samtec.com/prints/shf-1xx-01-x-d-xx-xx-mkt.pdf","Samtec","SHF-105-01-L-D-TH","2308450","Farnell"
J6 ,1,"AVR-ISP-6","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","https://www.we-online.com/catalog/datasheet/61200621621.pdf","Wurth Elektronik","61200621621","2356251","Farnell"
J7 ,1,"UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","https://www.we-online.com/catalog/datasheet/61300411121.pdf","Wurth Elektronik","61300411121","2356155","Farnell"
JP1 ,1,"RESET","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm","~"
R1 ,1,"1k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW12061K00FKEBC","71-CRCW12061K00FKEBC","Farnell"